[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43373,0.08266,,,0.0,100 x 100,295.4,300.8,4140.0,0.0,0.05,0 x 1317,0.05,-0.00138,1e-05,0.00633,-0.02555,0.0,0.50152,17.0,298.1,0.067
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43511,0.08272,,1.0,380.9,100 x 100,285.4,290.8,4150.0,0.0,0.05,0 x 2500,0.05,-0.00046,1e-05,0.00645,-0.02519,0.0,0.48644,8.0,288.1,0.065
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43637,0.08275,,,0.0,100 x 100,275.4,280.8,4160.0,0.0,0.05,0 x 995,0.0,-0.00139,5e-05,0.00621,-0.02528,0.0,0.46993,,278.1,0.063
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43744,0.08325,,,0.0,100 x 100,265.4,270.8,4170.0,0.0,0.05,0 x 1207,0.1,-0.00073,5e-05,0.00723,-0.02539,-0.00048,0.45398,62.0,268.1,0.06
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43737,0.08381,,1.0,314.98,15 x 23,250.9,274.8,4175.0,0.0,0.05,0 x 1158,0.1,-0.00146,1e-05,0.00689,-0.02513,-0.00058,0.44502,1.0,263.1,0.059
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43834,0.08318,,,0.0,100 x 100,255.4,260.8,4180.0,0.0,0.05,0 x 1106,0.1,-0.00094,5e-05,0.00698,-0.02531,-0.00044,0.43718,62.0,258.1,0.058
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43927,0.08414,,,0.0,100 x 100,245.4,250.8,4190.0,0.0,0.05,0 x 1111,0.07,-0.00083,7e-05,0.00718,-0.02492,-0.00022,0.42187,1.0,248.1,0.056
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.43975,0.08376,,,0.0,10 x 18,225.9,249.8,4200.0,0.0,0.05,0 x 2600,0.05,-0.00117,5e-05,0.00724,-0.02458,-0.00026,0.40509,1.0,238.1,0.054
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44114,0.08387,,,0.0,100 x 100,230.4,235.8,4205.0,0.0,0.05,0 x 1095,0.1,-0.00078,4e-05,0.00751,-0.02463,-0.00053,0.39701,102.0,233.1,0.053
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.96318,0.00061,0.161,-2.44066,0.08044,0.66889,,0.0,1 x 1,229.7,231.4,4210.0,0.0,0.05,0 x 1543,0.1,-0.00165,0.0,0.00768,-0.02507,-0.00049,0.38945,11.0,228.1,0.051
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44158,0.08432,9e-05,,0.0,100 x 100,220.5,225.8,4215.0,0.0,0.05,0 x 1097,0.1,-0.00138,7e-05,0.00768,-0.02472,-0.00017,0.38173,8.0,223.1,0.05
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44208,0.08416,,,0.0,15 x 23,205.9,229.8,4220.0,0.0,0.05,0 x 1436,0.1,-0.00098,8e-05,0.0079,-0.02532,0.0,0.37348,295.0,218.1,0.049
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.96018,0.00073,0.1706,-2.48987,0.08057,0.63495,1.0,255.6,1 x 1,214.7,216.5,4225.0,0.0,0.05,0 x 1566,0.1,-0.00091,4e-05,0.0077,-0.02496,-0.00058,0.36494,386.0,213.1,0.048
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.4437,0.08414,-0.00016,1.0,238.24,100 x 100,205.5,210.8,4230.0,0.0,0.05,0 x 1463,0.1,-0.00096,3e-05,0.00871,-0.02464,0.0,0.35764,106.0,208.1,0.047
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44387,0.08412,-0.00039,,0.0,100 x 100,200.5,205.8,4235.0,0.0,0.05,0 x 1162,0.0,-0.00158,4e-05,0.0083,-0.02504,0.0,0.3488,,203.1,0.046
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44447,0.08497,-0.00018,,0.0,100 x 100,195.5,200.8,4240.0,0.0,0.05,0 x 1213,0.1,-0.00149,3e-05,0.00876,-0.02507,0.0,0.34119,4.0,198.1,0.045
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44475,0.08509,-6e-05,,0.0,100 x 100,190.5,195.8,4245.0,0.0,0.05,0 x 1090,0.0,-0.00087,0.00011,0.00917,-0.0248,-0.00013,0.33266,,193.1,0.044
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44576,0.08453,-0.00023,1.0,218.22,100 x 100,185.5,190.8,4250.0,0.0,0.05,0 x 2837,0.1,-0.00183,8e-05,0.00852,-0.02534,0.0,0.32537,112.0,188.1,0.042
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44586,0.0854,0.00034,1.0,193.78,100 x 100,180.5,185.8,4255.0,0.0,0.05,0 x 1174,0.15,-0.00126,0.00011,0.00907,-0.02554,-0.00037,0.31748,101.0,183.1,0.041
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44624,0.08525,-0.00036,1.0,191.25,100 x 100,175.5,180.8,4260.0,0.0,0.05,0 x 1179,0.05,-0.00119,6e-05,0.00892,-0.02484,0.0,0.30827,6.0,178.1,0.04
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44687,0.08491,-0.00016,,0.0,100 x 100,170.5,175.8,4265.0,0.0,0.05,0 x 1171,0.1,-0.00181,0.0001,0.00919,-0.02459,0.0,0.3004,161.0,173.1,0.039
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44758,0.08518,0.0005,2.0,211.46,100 x 100,165.5,170.8,4270.0,0.0,0.05,0 x 1173,0.05,-0.00151,0.00013,0.01012,-0.02466,-0.00017,0.29189,6.0,168.1,0.038
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,0.95222,0.00094,0.19571,-2.44062,0.08115,0.50707,1.0,293.76,1 x 1,164.7,166.4,4275.0,0.0,0.05,0 x 3528,0.05,-0.00134,7e-05,0.00963,-0.0245,0.0,0.28371,43.0,163.1,0.037
1692129600,2023-08-15 16:00,2023-08-15,16.0,4438.11,2023-08-15,1692129600,0.0,1.0,0.0,0.0,-0.44876,0.08555,0.00044,1.0,171.25,100 x 100,155.5,160.8,4280.0,0.0,0.05,0 x 1060,0.05,-0.00154,9e-05,0.01019,-0.02452,0.0,0.27582,25.0,158.1,0.036
